"breed","environment","height_cm","weight_kg","lifespan_years","temperament","sex"
"Labrador Retriever","Suburban",57,30,12,"Friendly","male"
"Labrador Retriever","Suburban",55,28,12,"Friendly","female"
"German Shepherd","Urban",60,35,10,"Loyal","male"
"German Shepherd","Urban",58,32,10,"Loyal","female"
"Beagle","Rural",40,10,13,"Curious","male"
"Beagle","Rural",38,9,13,"Curious","female"
"Bulldog","Urban",40,22,10,"Docile","male"
"Bulldog","Urban",38,20,10,"Docile","female"
"Poodle","Suburban",45,20,14,"Intelligent","female"
"Poodle","Suburban",48,22,14,"Intelligent","male"
"Golden Retriever","Rural",55,30,11,"Trustworthy","male"
"Golden Retriever","Rural",53,28,11,"Trustworthy","female"
"Rottweiler","Urban",65,50,9,"Confident","male"
"Rottweiler","Urban",62,45,9,"Confident","female"
"Siberian Husky","Suburban",55,25,12,"Adventurous","male"
"Siberian Husky","Suburban",53,23,12,"Adventurous","female"
"Dachshund","Urban",25,10,14,"Playful","male"
"Dachshund","Urban",23,9,14,"Playful","female"
"Boxer","Suburban",57,30,10,"Energetic","male"
"Boxer","Suburban",55,28,10,"Energetic","female"
"Yorkshire Terrier","Urban",23,3,15,"Bold","female"
"Yorkshire Terrier","Urban",25,3.5,15,"Bold","male"
"Border Collie","Rural",50,20,12,"Intelligent","male"
"Border Collie","Rural",48,18,12,"Intelligent","female"
"Chihuahua","Urban",20,2,16,"Lively","female"
"Chihuahua","Urban",22,2.5,16,"Lively","male"
